"AB_ZEIT";"AN_ZEIT";"AB_HST_NAME";"AN_HST_NAME";"TRANSPORTMITTEL";"LINIE"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"7:08 (25680)";"7:09 (25740)";"Dresden Tannenstraﬂe";"Dresden Bischofsweg";"TRAM";"7"
"Next";"Trip";"";"";"Waiting:";"0:05 (300)"
"7:14 (26040)";"7:16 (26160)";"Dresden Bischofsweg";"Dresden Bischofsplatz";"TRAM";"13"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"7:26 (26760)";"7:28 (26880)";"Dresden Mickten";"Dresden Mickten";"TRAM";"13"
"Next";"Trip";"";"";"Waiting:";"0:06 (360)"
"7:34 (27240)";"7:35 (27300)";"Dresden Mickten";"Dresden Trachauer Straﬂe";"TRAM";"9"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"7:49 (28140)";"7:50 (28200)";"Dresden Trachauer Straﬂe";"Dresden Mickten";"TRAM";"9"
"Next";"Trip";"";"";"Waiting:";"0:08 (480)"
"7:58 (28680)";"7:59 (28740)";"Dresden Mickten";"Dresden Alttrachau";"TRAM";"4"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"8:48 (31680)";"8:49 (31740)";"Dresden Kronst‰dter Platz";"Dresden Leubener Straﬂe";"TRAM";"4"
"Next";"Trip";"";"";"Waiting:";"0:11 (660)"
"9:00 (32400)";"9:01 (32460)";"Dresden Leubener Straﬂe";"Dresden Laibacher Straﬂe";"TRAM";"6"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"9:22 (33720)";"9:24 (33840)";"Dresden Guerickestraﬂe";"Dresden Berthold-Haupt-Straﬂe";"TRAM";"6"
"Next";"Trip";"";"";"Waiting:";"0:08 (480)"
"9:32 (34320)";"9:33 (34380)";"Dresden Berthold-Haupt-Straﬂe";"Dresden Heckenweg";"TRAM";"2"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"10:39 (38340)";"10:41 (38460)";"Dresden Jacob-Winter-Platz";"Dresden Albert-Wolf-Platz";"TRAM";"13"
"Next";"Trip";"";"";"Waiting:";"0:05 (300)"
"10:46 (38760)";"10:47 (38820)";"Dresden Albert-Wolf-Platz";"Dresden M¸gelner Straﬂe";"TRAM";"1"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"11:04 (39840)";"11:06 (39960)";"Dresden Comeniusplatz";"Dresden Straﬂburger Platz";"TRAM";"1"
"Next";"Trip";"";"";"Waiting:";"0:05 (300)"
"11:11 (40260)";"11:12 (40320)";"Dresden Straﬂburger Platz";"Dresden St.-Benno-Gymnasium";"TRAM";"13"
"";"";"";"";"";""
"Last";"Trip";"";"";"";""
"11:27 (41220)";"11:30 (41400)";"Dresden Friedensstraﬂe";"Dresden Liststraﬂe";"TRAM";"13"
"Next";"Trip";"";"";"Waiting:";"0:06 (360)"
